Sample	Attribute	Primary	Attribute	Secondary	Scdry Attr	Cap	Sample	Primary	Secondary	Peak	Name	Position	MW(kDa)	Height	Area	%Area	Width	S/N	Baseline	Channel
"sHF101.8"	""	"Primary"	""	"Secondary"	""	10	A10	C10	D10	5		401	59.694	13032.64	440821.509	 	31.7759	56.8	730.12	CHEMI
"sHF101.8"	""	"Primary"	""	"Secondary"	""	10	A10	C10	D10	6		454	105.974	37411.54	905571.88	 	22.7397	132.0	721.1	CHEMI
"sHF101.8"	""	"Primary"	""	"Secondary"	""	10	A10	C10	D10	7		487	154.219	132346.63	4161149.479	 	29.5371	782.9	705.7	CHEMI
"sHF101.8"	""	"Primary"	""	"Secondary"	""	10	A10	C10	D10	8		520	210.52	57899.07	1470308.246	 	23.8564	156.5	684.33	CHEMI
"sHF101.9"	""	"Primary"	""	"Secondary"	""	11	A11	C11	D11	1		190	3.531	8945.85	230937.936	 	24.2517	51.7	496.47	CHEMI
"sHF101.9"	""	"Primary"	""	"Secondary"	""	11	A11	C11	D11	2		322	35.564	2638.94	68727.682	 	24.4664	25.2	651.85	CHEMI
"sHF101.9"	""	"Primary"	""	"Secondary"	""	11	A11	C11	D11	3		403	61.284	11180.67	312985.32	 	26.2981	29.8	687.29	CHEMI
"sHF101.9"	""	"Primary"	""	"Secondary"	""	11	A11	C11	D11	4		453	104.668	40714.68	930326.565	 	21.4661	105.9	693.75	CHEMI
"sHF101.9"	""	"Primary"	""	"Secondary"	""	11	A11	C11	D11	5		486	153.894	153267.49	4710281.63	 	28.8712	777.6	692.97	CHEMI
"sHF101.9"	""	"Primary"	""	"Secondary"	""	11	A11	C11	D11	6		519	212.686	64855.02	1656588.513	 	23.996	67.8	688.96	CHEMI
"sHF101.10"	""	"Primary"	""	"Secondary"	""	12	A12	C12	D12	1		188	3.223	10092.13	236805.773	 	22.0433	84.2	503.85	CHEMI
"sHF101.10"	""	"Primary"	""	"Secondary"	""	12	A12	C12	D12	2		324	35.57	2430.5	50788.136	 	19.6306	28.1	756.45	CHEMI
"sHF101.10"	""	"Primary"	""	"Secondary"	""	12	A12	C12	D12	3		347	41.711	2214.91	46244.629	 	19.6143	14.2	770.86	CHEMI
"sHF101.10"	""	"Primary"	""	"Secondary"	""	12	A12	C12	D12	4		377	51.765	6757.35	156350.723	 	21.7366	38.4	773.92	CHEMI
"sHF101.10"	""	"Primary"	""	"Secondary"	""	12	A12	C12	D12	5		397	58.685	7451.51	140337.255	 	17.6928	31.1	766.89	CHEMI
"sHF101.10"	""	"Primary"	""	"Secondary"	""	12	A12	C12	D12	6		421	65.666	8906.54	225096.489	 	23.7426	20.9	749.74	CHEMI
"sHF101.10"	""	"Primary"	""	"Secondary"	""	12	A12	C12	D12	7		455	108.28	42656.13	917288.721	 	20.2019	178.1	710.88	CHEMI
"sHF101.10"	""	"Primary"	""	"Secondary"	""	12	A12	C12	D12	8		487	154.213	136448.91	3975753.095	 	27.3727	918.9	660.82	CHEMI
"sHF101.10"	""	"Primary"	""	"Secondary"	""	12	A12	C12	D12	9		520	213.745	73368.12	2009090.179	 	25.7253	136.8	597.85	CHEMI
"sHF94.1"	""	"Primary"	""	"Secondary"	""	13	A13	C13	D13	1		187	2.736	21777.7	555314.08	 	23.9549	154.0	788.39	CHEMI
"sHF94.1"	""	"Primary"	""	"Secondary"	""	13	A13	C13	D13	2		324	35.246	3069.79	78442.588	 	24.0055	54.2	1262	CHEMI
"sHF94.1"	""	"Primary"	""	"Secondary"	""	13	A13	C13	D13	3		346	40.518	4375.54	125376.809	 	26.9187	31.0	1311.74	CHEMI
"sHF94.1"	""	"Primary"	""	"Secondary"	""	13	A13	C13	D13	4		376	51.167	7266.94	170948.759	 	22.0995	47.8	1368.48	CHEMI
"sHF94.1"	""	"Primary"	""	"Secondary"	""	13	A13	C13	D13	5		402	59.338	16575.36	523840.154	 	29.6896	41.5	1408.23	CHEMI
"sHF94.1"	""	"Primary"	""	"Secondary"	""	13	A13	C13	D13	6		453	104.672	47809.56	1130112.663	 	22.2062	206.5	1464.13	CHEMI
"sHF94.1"	""	"Primary"	""	"Secondary"	""	13	A13	C13	D13	7		486	152.853	183529.92	6339784.606	 	32.4515	924.6	1487.15	CHEMI
"sHF94.1"	""	"Primary"	""	"Secondary"	""	13	A13	C13	D13	8		521	216.45	101034.74	2993234.36	 	27.8316	236.0	1502.54	CHEMI
"sHF94.2"	""	"Primary"	""	"Secondary"	""	14	A14	C14	D14	1		186	2.126	4766.29	113054.352	 	22.283	55.9	380.59	CHEMI
"sHF94.2"	""	"Primary"	""	"Secondary"	""	14	A14	C14	D14	2		323	34.708	1532.03	36501.348	 	22.3825	45.8	536.13	CHEMI
"sHF94.2"	""	"Primary"	""	"Secondary"	""	14	A14	C14	D14	3		348	40.31	1665.32	46280.123	 	26.1074	19.5	551.25	CHEMI
"sHF94.2"	""	"Primary"	""	"Secondary"	""	14	A14	C14	D14	4		380	53.538	3887.99	109104.227	 	26.3624	26.2	564.32	CHEMI
"sHF94.2"	""	"Primary"	""	"Secondary"	""	14	A14	C14	D14	5		405	60.184	7025.63	209391.308	 	27.9989	45.7	570.09	CHEMI
"sHF94.2"	""	"Primary"	""	"Secondary"	""	14	A14	C14	D14	6		453	106.55	24896.03	584385.573	 	22.0515	171.6	571.75	CHEMI
"sHF94.2"	""	"Primary"	""	"Secondary"	""	14	A14	C14	D14	7		486	153.76	83464.04	2788668.656	 	31.3881	721.2	566.86	CHEMI
"sHF94.2"	""	"Primary"	""	"Secondary"	""	14	A14	C14	D14	8		521	213.741	48432.03	1341071.479	 	26.0128	178.7	557.44	CHEMI
"sHF94.3"	""	"Primary"	""	"Secondary"	""	15	A15	C15	D15	1		189	3.476	7797.81	189925.827	 	22.8812	96.6	381.3	CHEMI
"sHF94.3"	""	"Primary"	""	"Secondary"	""	15	A15	C15	D15	2		324	35.632	1077.67	26098.258	 	22.7507	24.9	504.13	CHEMI
"sHF94.3"	""	"Primary"	""	"Secondary"	""	15	A15	C15	D15	3		347	40.926	1076	25456.376	 	22.2256	14.7	515.45	CHEMI
"sHF94.3"	""	"Primary"	""	"Secondary"	""	15	A15	C15	D15	4		373	50.319	2742.93	63932.612	 	21.8965	21.9	525.66	CHEMI
"sHF94.3"	""	"Primary"	""	"Secondary"	""	15	A15	C15	D15	5		403	60.431	5860.3	168738.104	 	27.0496	51.3	534.34	CHEMI
"sHF94.3"	""	"Primary"	""	"Secondary"	""	15	A15	C15	D15	6		452	105.573	20895.5	482929.596	 	21.712	109.4	542.39	CHEMI
"sHF94.3"	""	"Primary"	""	"Secondary"	""	15	A15	C15	D15	7		485	150.085	88644.94	2877462.997	 	30.4946	733.3	544.26	CHEMI
"sHF94.3"	""	"Primary"	""	"Secondary"	""	15	A15	C15	D15	8		521	207.214	52392.53	1381242.199	 	24.7667	156.7	543.75	CHEMI
"sHF100.1"	""	"Primary"	""	"Secondary"	""	16	A16	C16	D16	1		407	62.61	1989.07	57068.469	 	26.9534	47.3	262.2	CHEMI
"sHF100.1"	""	"Primary"	""	"Secondary"	""	16	A16	C16	D16	2		488	154.161	38268.33	720659.025	 	17.6912	1159.2	281.6	CHEMI
